room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,name
entire home/apt,lisbon,belém,7.0,4.5,5,3.0,36.0,belém skinny house
entire home/apt,lisbon,santa maria maior,23.0,4.5,3,2.0,36.0,alfama's cozy suite
entire home/apt,lisbon,santa maria maior,44.0,4.5,2,0.0,38.0,open space escadinhas
entire home/apt,lisbon,santo antónio,173.0,4.5,3,0.0,36.0,estúdio no centro de lisboa
entire home/apt,lisbon,estrela,68.0,4.0,2,1.0,36.0,new!! apartment in citycenter
entire home/apt,lisbon,carnide,1.0,0.0,6,2.0,36.0,cozy house in calm typical lisbon neighbourhood
entire home/apt,lisbon,são vicente,70.0,4.0,6,2.0,32.0,duplex close to alfama
entire home/apt,lisbon,arroios,90.0,5.0,4,1.0,38.0,apartment overlooking the castle
entire home/apt,lisbon,ajuda,105.0,4.5,3,1.0,39.0,typical neighborhood in lisbon
entire home/apt,lisbon,são vicente,67.0,4.0,2,1.0,30.0,"dom rafael, cosy & charming alfama"
entire home/apt,lisbon,santa maria maior,164.0,5.0,2,0.0,39.0,studio in the heart of alfama
entire home/apt,lisbon,alcântara,21.0,4.5,3,1.0,36.0,"st. amaro, central, perto de belém"
entire home/apt,lisbon,ajuda,82.0,4.5,4,1.0,36.0,belem charming apartment 29702/al
entire home/apt,lisbon,ajuda,48.0,4.0,3,1.0,30.0,romantic design apartment
entire home/apt,lisbon,santa maria maior,119.0,4.5,2,0.0,35.0,flower iii (near castle st george)
entire home/apt,lisbon,são vicente,18.0,4.5,6,2.0,31.0,são vicente - historical lisbon (2-6 pax)
entire home/apt,lisbon,santa maria maior,81.0,4.5,2,0.0,34.0,little alfama town
entire home/apt,lisbon,misericórdia,100.0,4.5,6,2.0,38.0,two bedrooms apart in city center
entire home/apt,lisbon,arroios,17.0,5.0,2,1.0,36.0,"angels, quiet sunny flat"
entire home/apt,lisbon,santa maria maior,53.0,4.5,2,0.0,34.0,lovely studio in mouraria
entire home/apt,lisbon,belém,5.0,5.0,8,3.0,3363.0,palatial lisbon apartment with 270' panoramic view
entire home/apt,lisbon,estrela,15.0,5.0,16,9.0,1201.0,thehouse - your luxury home
